	error_rate	adapt_cutoff	entropy_cutoff	search time (sec)	repeat queries	repeat lookups	missed (%)
0	0.02	0.2	1.0	0.926	0	0	0.081
1	0.02	0.4	1.0	0.98	0	0	0.0
2	0.02	0.6	1.0	0.962	0	0	0.0
3	0.02	0.8	1.0	1.007	0	0	0.0
4	0.02	1.0	1.0	0.972	0	0	0.0
5	0.04	0.2	1.0	0.348	0	0	0.07
6	0.04	0.4	1.0	0.34	0	0	0.0
7	0.04	0.6	1.0	0.432	0	0	0.0
8	0.04	0.8	1.0	0.446	0	0	0.0
9	0.04	1.0	1.0	0.426	0	0	0.0
10	0.06	0.2	1.0	0.358	0	0	0.068
11	0.06	0.4	1.0	0.357	0	0	0.0
12	0.06	0.6	1.0	0.471	0	0	0.0
13	0.06	0.8	1.0	0.468	0	0	0.0
14	0.06	1.0	1.0	0.462	0	0	0.0
15	0.08	0.2	1.0	0.43	0	0	0.078
16	0.08	0.4	1.0	0.44	0	0	0.005
17	0.08	0.6	1.0	0.876	0	0	0.004
18	0.08	0.8	1.0	0.944	0	0	0.0
19	0.08	1.0	1.0	0.914	0	0	0.0
20	0.1	0.2	1.0	0.452	0	0	0.088
21	0.1	0.4	1.0	0.494	0	0	0.016
22	0.1	0.6	1.0	1.012	0	0	0.013
23	0.1	0.8	1.0	1.061	0	0	0.002
24	0.1	1.0	1.0	1.092	0	0	0.002
0	0.02	1.0	0.2	0.914	0	0	0.12
1	0.02	1.0	0.4	1.03	0	0	0.0
2	0.02	1.0	0.6	1.042	0	0	0.0
3	0.02	1.0	0.8	0.997	0	0	0.0
4	0.02	1.0	1.0	0.998	0	0	0.0
5	0.04	1.0	0.2	0.273	0	0	0.691
6	0.04	1.0	0.4	0.356	0	0	0.376
7	0.04	1.0	0.6	0.442	0	0	0.066
8	0.04	1.0	0.8	0.449	0	0	0.0
9	0.04	1.0	1.0	0.469	0	0	0.0
10	0.06	1.0	0.2	0.289	0	0	0.686
11	0.06	1.0	0.4	0.358	0	0	0.37
12	0.06	1.0	0.6	0.436	0	0	0.062
13	0.06	1.0	0.8	0.45	0	0	0.0
14	0.06	1.0	1.0	0.481	0	0	0.0
15	0.08	1.0	0.2	0.463	0	0	0.681
16	0.08	1.0	0.4	0.712	0	0	0.37
17	0.08	1.0	0.6	0.928	0	0	0.064
18	0.08	1.0	0.8	0.945	0	0	0.0
19	0.08	1.0	1.0	0.913	0	0	0.0
20	0.1	1.0	0.2	0.515	0	0	0.681
21	0.1	1.0	0.4	0.823	0	0	0.366
22	0.1	1.0	0.6	1.084	0	0	0.06
23	0.1	1.0	0.8	1.083	0	0	0.002
24	0.1	1.0	1.0	1.114	0	0	0.002
