	error_rate	adapt_cutoff	entropy_cutoff	search time (sec)	repeat queries	repeat lookups	missed (%)
0	0.02	0.2	1.0	16.803	0	0	0.0
1	0.02	0.4	1.0	16.751	0	0	0.0
2	0.02	0.6	1.0	16.682	0	0	0.0
3	0.02	0.8	1.0	16.792	0	0	0.0
4	0.02	1.0	1.0	16.689	0	0	0.0
5	0.04	0.2	1.0	2.079	0	0	0.0
6	0.04	0.4	1.0	2.071	0	0	0.0
7	0.04	0.6	1.0	3.112	0	0	0.0
8	0.04	0.8	1.0	3.182	0	0	0.0
9	0.04	1.0	1.0	3.155	0	0	0.0
10	0.06	0.2	1.0	2.37	0	0	0.0
11	0.06	0.4	1.0	2.362	0	0	0.0
12	0.06	0.6	1.0	3.664	0	0	0.0
13	0.06	0.8	1.0	3.698	0	0	0.0
14	0.06	1.0	1.0	3.685	0	0	0.0
15	0.08	0.2	1.0	4.222	0	0	0.005
16	0.08	0.4	1.0	4.206	0	0	0.005
17	0.08	0.6	1.0	15.044	0	0	0.0
18	0.08	0.8	1.0	15.355	0	0	0.0
19	0.08	1.0	1.0	15.366	0	0	0.0
20	0.1	0.2	1.0	5.415	0	0	0.021
21	0.1	0.4	1.0	5.33	0	0	0.021
22	0.1	0.6	1.0	19.562	0	0	0.003
23	0.1	0.8	1.0	19.79	0	0	0.002
24	0.1	1.0	1.0	19.878	0	0	0.002
0	0.02	1.0	0.2	0.808	0	0	0.058
1	0.02	1.0	0.4	0.91	0	0	0.0
2	0.02	1.0	0.6	0.892	0	0	0.0
3	0.02	1.0	0.8	0.872	0	0	0.0
4	0.02	1.0	1.0	0.842	0	0	0.0
5	0.04	1.0	0.2	0.264	0	0	0.67
6	0.04	1.0	0.4	0.344	0	0	0.332
7	0.04	1.0	0.6	0.416	0	0	0.034
8	0.04	1.0	0.8	0.419	0	0	0.0
9	0.04	1.0	1.0	0.442	0	0	0.0
10	0.06	1.0	0.2	0.29	0	0	0.663
11	0.06	1.0	0.4	0.36	0	0	0.326
12	0.06	1.0	0.6	0.438	0	0	0.03
13	0.06	1.0	0.8	0.43	0	0	0.0
14	0.06	1.0	1.0	0.446	0	0	0.0
15	0.08	1.0	0.2	0.422	0	0	0.664
16	0.08	1.0	0.4	0.667	0	0	0.332
17	0.08	1.0	0.6	0.805	0	0	0.032
18	0.08	1.0	0.8	0.821	0	0	0.0
19	0.08	1.0	1.0	0.865	0	0	0.0
20	0.1	1.0	0.2	0.504	0	0	0.663
21	0.1	1.0	0.4	0.718	0	0	0.329
22	0.1	1.0	0.6	0.992	0	0	0.031
23	0.1	1.0	0.8	1.033	0	0	0.002
24	0.1	1.0	1.0	0.968	0	0	0.002
